职称 地区 公司资质 要求 薪资 福利
Python开发工程师 成都-高新区 "上市公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
Python开发工程师 成都-武侯区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 年终奖金 周末双休 绩效奖金 "
python开发工程师 武汉-江汉区 "上市公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 补充医疗保险 年终奖金 定期体检 "
Python高级开发工程师 武汉-东湖新技术产业开发区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 绩效奖金 通讯补贴 五险一金 餐饮补贴 "
Python开发工程师 南京 "民营公司 " " 本科  3-4年" 0.9-1.5万/月 " 五险一金 周末双休 员工宿舍 专业培训 "
Python开发工程师 长沙 "国企 " " 本科  2年" 1-1.5万/月 " 五险一金 绩效奖金 通讯补贴 定期体检 "
Python开发工程师 宁波-鄞州区 "上市公司 " " 大专  1年" 0.9-1.4万/月 " 五险一金 交通补贴 年终奖金 绩效奖金 "
"Python/Go开发工程师（成都） (MJ004268)" 成都-高新区 "合资 " " 本科  2年" 1.2-2.4万/月 " 五险一金 补充医疗保险 餐饮补贴 通讯补贴 "
Python开发工程师(SMB) 济南-高新区 "民营公司 " " 本科  无需经验" 0.7-1.4万/月 " 五险一金 餐饮补贴 定期体检 绩效奖金 "
python研发工程师 武汉-汉阳区 "民营公司 " " 本科  3-4年" 1.2-2.5万/月 " "
Python开发工程师 武汉-洪山区 "民营公司 " " 本科  2年" 1-1.5万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 武汉 "上市公司 " " 本科  1年" 0.7-1.2万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 合肥-高新区 "民营公司 " " 本科  无需经验" 0.8-1.5万/月 " "
python开发工程师 无锡 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 交通补贴 绩效奖金 年终奖金 "
Python开发工程师 西安-高新技术产业开发区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 补充医疗保险 补充公积金 餐饮补贴 "
python开发工程师 苏州-工业园区 "合资 " " 本科  3-4年" 1-2万/月 " 五险一金 餐饮补贴 弹性工作 专业培训 "
Python开发工程师 福州-闽侯县 "民营公司 " " 本科  1年" 0.8-1.3万/月 " 五险一金 员工旅游 年终奖金 周末双休 "
Python开发工程师 珠海-珠海高新区 "民营公司 " " 本科  2年" 0.8-1.6万/月 " "
python后端开发工程师 苏州-工业园区 "民营公司 " " 大专  3-4年" 1.2-1.8万/月 " "
Python开发工程师 成都-金牛区 "民营公司 " " 大专  3-4年" 1.2-1.5万/月 " 五险一金 餐饮补贴 午餐福利 绩效奖金 "
交付开发工程师（python） 武汉-洪山区 "民营公司 " " 本科  3-4年" 1.1-1.7万/月 " 五险一金 员工旅游 定期体检 绩效奖金 "
Python开发工程师 重庆-渝中区 "上市公司 " " 大专  3-4年" 1-1.3万/月 " 五险一金 员工旅游 生日礼物 司龄补贴 "
"Python开发工程师（双休 五险一金）" 成都 "外资（非欧美） " " 本科  1年" 1-1.5万/月 " 五险一金 绩效奖金 全勤奖 定期体检 "
数据工程师python 苏州-工业园区 "民营公司 " " 大专  5-7年" 1.3-1.6万/月 " 交通补贴 通讯补贴 专业培训 员工旅游 "
Python开发工程师 无锡-滨湖区 "民营公司 " " 本科  3-4年" 16-32万/年 " 周末双休 五险一金 工作午餐 定期体检 "
Python开发工程师 武汉 "民营公司 " " 本科  1年" 15-20万/年 " 五险一金 专业培训 年终奖金 股票期权 "
Python高级开发工程师 珠海-珠海高新区 "外资（非欧美） " " 大专  3-4年" 0.8-1.5万/月 " "
Python开发工程师-重庆 重庆 "合资 " " 本科  3-4年" 1.1-2万/月 " 补充医疗保险 年终奖金 弹性工作 定期体检 "
Python开发工程师 南京 "民营公司 " " 大专  2年" 0.8-1.2万/月 " "
Python开发工程师 浙江省 "合资 " " 大专  3-4年" 1-2万/月 " "
python后端开发工程师 成都-武侯区 "民营公司 " " 本科  1年" 0.7-1.4万/月 " 五险一金 专业培训 餐饮补贴 绩效奖金 "
Python初级开发工程师 南京 "民营公司 " " 本科  1年" 0.8-1.3万/月 " 五险一金 餐饮补贴 绩效奖金 股票期权 "
Python开发工程师 南京-江宁区 "民营公司 " " 本科  1年" 0.8-1.6万/月 " 五险一金 员工旅游 绩效奖金 定期体检 "
Python中级工程师 苏州-工业园区 "民营公司 " " 本科  2年" 1-1.5万/月 " 带薪年假 五险一金 绩效奖金 节假日福利 "
高级Python后端开发工程师 重庆-渝北区 "民营公司 " " 本科  2年" 1-1.5万/月 " 年终奖金 周末双休 五险 专业培训 "
Python开发工程师 无锡-滨湖区 "国企 " " 本科  1年" 0.8-1.5万/月 " 餐饮补贴 弹性工作 五险一金 绩效奖金 "
Python开发工程师 武汉-东湖新技术产业开发区 "外资（欧美） " " 本科  2年"  " "
Python开发工程师 长沙-长沙县 "民营公司 " " 本科  1年" 1.2-1.8万/月 " 五险一金 员工旅游 通讯补贴 专业培训 "
Python高级开发工程师（本社） 大连-高新园区 "合资 " " 大专  5-7年" 1-1.5万/月 " 五险一金 交通补贴 定期体检 弹性工作 "
Python开发工程师 南京-浦口区 "合资 " " 本科  1年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 通讯补贴 "
PYTHON开发工程师 杭州-滨江区 "民营公司 " " 本科  1年" 1.2-2万/月 " 六险一金 交通补贴 餐饮补贴 带薪年假 "
Python高级开发工程师 武汉 "民营公司 " " 本科  5-7年" 1.2-1.8万/月 " 绩效奖金 弹性工作 扁平化管理 领导好 "
Python高级开发工程师 成都-郫都区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 年终奖金 通讯补贴 股票期权 "
Python开发工程师 西安-长安区 "民营公司 " " 本科  1年" 0.9-1.2万/月 " 五险一金 餐饮补贴 年终奖金 过节福利 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 五险一金 补充医疗保险 员工旅游 绩效奖金 "
Python高级开发工程师 昆明 "民营公司 " " 本科  3-4年" 10-17万/年 " 弹性工作 出国机会 员工旅游 餐饮补贴 "
Python开发工程师 长沙-芙蓉区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 绩效奖金 项目奖金 "
Python开发工程师 合肥 "上市公司 " " 本科  3-4年" 1.3-1.6万/月 " 五险一金 定期体检 周末双休 带薪年假 "
Python开发工程师 武汉-东湖新技术产业开发区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 员工旅游 专业培训 出国机会 绩效奖金 "
Python开发工程师 南京-江宁区 "民营公司 " " 本科  1年" 0.8-1.1万/月 " 五险一金 员工旅游 绩效奖金 定期体检 "
Python开发工程师 南京-雨花台区 "民营公司 " " 大专  3-4年" 1.3-2万/月 " "
Python爬虫工程师 杭州-江干区 "民营公司 " " 大专  1年" 0.9-1.2万/月 " 五险 周末双休 提成 "
Python高级开发工程师 武汉 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 交通补贴 餐饮补贴 员工旅游 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 绩效奖金 年终奖金 "
Python开发工程师 青岛-李沧区 "外资（欧美） " " 本科  2年" 1.2-2.2万/月 " 五险一金 加班补助 年终奖 带薪年假 "
Python开发工程师 珠海-珠海高新区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
Python开发工程师 南京 "国企 " " 本科  2年" 1.2-1.5万/月 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 南京-江宁区 "民营公司 " " 本科  1年" 1-1.5万/月 " "
Python开发工程师 郑州-高新区 "民营公司 " " 本科  3-4年" 0.8-1.2万/月 " 五险一金 餐饮补贴 周末双休 包住 "
Python开发工程师 宁波-北仑区 "民营公司 " " 本科  3-4年" 0.8-1.3万/月 " 五险一金 员工旅游 餐饮补贴 住房补贴 "
python爬虫工程师 武汉-洪山区 "民营公司 " " 大专  1年" 0.8-1.5万/月 " 五险一金 补充医疗保险 弹性工作 带薪年假 "
python工程师（采集方向项目经理级） 武汉-洪山区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 员工旅游 交通补贴 通讯补贴 "
Python开发工程师 杭州-滨江区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 免费班车 餐饮补贴 通讯补贴 "
Python开发工程师 成都-武侯区 "民营公司 " " 大专  2年" 0.8-1.5万/月 " 五险一金 年终奖金 绩效奖金 股票期权 "
Python中高级开发工程师 成都-武侯区 "民营公司 " " 大专  3-4年" 0.9-1.3万/月 " 五险一金 年终奖金 员工旅游 "
Python开发工程师 合肥 "上市公司 " " 本科  3-4年" 1-1.5万/月 " "
Python开发工程师 沈阳 "合资 " " 大专  5-7年" 1.2-2万/月 " 节日福利 带薪年假 定期体检 五险一金 "
Python开发工程师 南京-雨花台区 "国企 " " 本科  3-4年" 1-1.5万/月 " "
Python开发工程师 沈阳-和平区 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 五险一金 定期体检 补充医疗保险 "
Python爬虫开发工程师 武汉-江夏区 "民营公司 " " 本科  3-4年" 1-2万/月 " 五险一金 补充医疗保险 补充公积金 免费班车 "
Python开发工程师 武汉-洪山区 "民营公司 " " 本科  3-4年" 12-20万/年 " 五险一金 专业培训 年终奖金 周末双休 "
Python研发工程师 西安-雁塔区 "民营公司 " " 本科  3-4年" 0.6-1.5万/月 " 五险一金 专业培训 弹性工作 年终奖金 "
Python工程师 武汉-洪山区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 周末双休 带薪年假 绩效奖金 全勤奖 "
高级Python开发工程师 大连-沙河口区 "上市公司 " " 大专  5-7年" 1-2万/月 " 五险一金 年终奖金 交通补贴 意外伤害险 "
Python开发工程师 成都-武侯区 "民营公司 " " 本科  1年" 1-1.5万/月 " 年终奖金 周末双休 节日福利 五险一金 "
Python开发工程师 成都 "民营公司 " " 本科  1年" 0.7-1.5万/月 " 年终奖金 绩效奖金 通讯补贴 五险一金 "
Python开发工程师 许昌 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 苏州-工业园区 "民营公司 " " 本科  1年" 0.8-2万/月 " 五险一金 餐饮补贴 年终奖金 "
Python开发工程师 南京-雨花台区 "上市公司 " " 本科  2年" 1-2万/月 " 五险一金 绩效奖金 补充医疗保险 定期体检 "
Python技术开发 西安-雁塔区 "民营公司 " " 大专  2年" 0.8-1.4万/月 " 五险一金 员工旅游 专业培训 年终奖金 "
python后台开发工程师 西安-雁塔区 "民营公司 " " 大专  2年" 0.7-2万/月 " 五险一金 年终奖金 弹性工作 专业培训 "
Python高级开发工程师 长沙-天心区 "民营公司 " " 大专  5-7年" 1.2-2.4万/月 " 做五休二 周末双休 带薪年假 五险一金 "
Python开发工程师 青岛-市北区 "民营公司 " " 大专  2年" 0.8-1.3万/月 " 五险一金 交通补贴 员工旅游 绩效奖金 "
"Python爬虫工程师 13薪 双休" 合肥-蜀山区 "民营公司 " " 本科  1年" 0.7-1.2万/月 " 五险一金 餐饮补贴 年终奖金 周末双休 "
"python 建模工程师" 西安-雁塔区 "国企 " " 本科  3-4年" 0.6-1.2万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
Python开发工程师 南京-雨花台区 "民营公司 " " 本科  1年" 0.8-1.4万/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
Python开发工程师 杭州-西湖区 "合资 " " 本科  2年" 0.9-1.5万/月 " 绩效奖金 年终奖金 弹性工作 五险一金 "
Python开发工程师 石家庄-桥西区 "民营公司 " " 本科  1年" 1.2-2万/月 " 五险一金 员工旅游 定期体检 交通补贴 "
高级python开发工程师（五险一金） 长沙 "民营公司 " " 大专  1年" 1-1.5万/月 " 五险一金 员工旅游 专业培训 半年度奖金 "
Python开发工程师 佛山 "民营公司 " " 本科  2年" 0.8-1.2万/月 " 五险 通讯补贴 节日福利 员工旅游 "
Python高级开发工程师 成都-天府新区 "民营公司 " " 本科  3-4年" 1.1-1.7万/月 " 五险一金 餐饮补贴 通讯补贴 年终奖金 "
高级Python开发工程师 无锡-滨湖区 "民营公司 " " 本科  3-4年" 0.8-1.3万/月 " 五险一金 年终奖金 全勤奖 周末双休 "
软件开发工程师（python）-WHT 无锡 "国企 " " 本科  2年" 0.8-1.2万/月 " 免费班车 专业培训 免费餐饮 "
python工程师 珠海 "上市公司 " " 大专  1年" 1-1.5万/月 " 餐饮补贴 五险一金 补充医疗保险 员工旅游 "
Python软件工程师 杭州 "民营公司 " " 本科  2年" 1-1.8万/月 " 年终奖金 五险一金 员工旅游 餐饮补贴 "
"软件开发（.net /python)" 佛山 "民营公司 " " 大专  1年" 0.8-1.5万/月 " 五险 带薪年假 公费旅游 优质企业 "
Python开发工程师 成都-武侯区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 员工旅游 定期体检 节日福利 带薪年假 "
中高级python开发工程师 郑州-金水区 "创业公司 " " 大专  3-4年" 0.9-1.1万/月 " 五险一金 专业培训 弹性工作 绩效奖金 "
Python开发工程师 杭州-余杭区 "民营公司 " " 硕士  2年" 1-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python开发工程师 杭州-余杭区 "民营公司 " " 本科  3-4年" 1.4-2.4万/月 " 周末双休 股票期权 五险一金 定期体检 "
Python开发工程师 武汉 "民营公司 " " 本科  1年" 0.8-1.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
Python 莆田 "民营公司 " " 大专  2年" 0.6-1.2万/月 " 五险一金 专业培训 年终奖金 周末双休 "
python算法工程师 长沙-芙蓉区 "民营公司 " " 本科  3-4年" 0.8-1.5万/月 " 带薪年假 节日福利 绩效奖金 专业培训 "
"python开发工程师 (MJ000106)" 合肥-高新区 "上市公司 " " 本科  1年" 1-1.5万/月 " 五险一金 交通补贴 员工旅游 通讯补贴 "
Python开发工程师 杭州-富阳区 "民营公司 " " 本科  3-4年" 1-1.8万/月 " 五险一金 年终奖金 绩效奖金 专业培训 "
Python开发工程师 杭州-滨江区 "国企 " " 本科  3-4年" 1-1.5万/月 " 做五休二 带薪年假 绩效奖金 节日福利 "
Python后端开发工程师 武汉-东湖新技术产业开发区 "民营公司 " " 大专  1年" 0.7-1.2万/月 " 五险一金 周末双休 过节费 年终奖金 "
Python高级开发工程师 天津-西青区 "上市公司 " " 本科  5-7年" 1-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python开发工程师 杭州-拱墅区 "民营公司 " " 大专  3-4年" 1-1.5万/月 " 五险一金 免费班车 年终奖金 "
Python开发工程师 重庆 "民营公司 " " 本科  1年" 1-1.5万/月 " 五险一金 绩效奖金 年终奖金 弹性工作 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  3-4年" 1-1.5万/月 " 五险一金 年终奖金 周末双休 季度奖金 "
Python开发工程师 珠海-香洲区 "外资（非欧美） " " 大专  1年" 0.8-1.5万/月 " 做五休二 绩效奖金 节日福利 专业培训 "
Python开发工程师 南京-玄武区 "上市公司 " " 本科  3-4年" 1.2-2.4万/月 " 五险一金 餐饮补贴 年终奖金 绩效奖金 "
Python开发工程师 合肥-高新区 "民营公司 " " 本科  无需经验" 1-2万/月 " 五险一金 绩效奖金 年终奖金 定期体检 "
Python开发工程师 合肥-瑶海区 "民营公司 " " 大专  3-4年" 0.8-1.2万/月 " 五险一金 带薪年假 节日福利 专业培训 "
Python开发工程师 成都-高新区 "民营公司 " " 本科  1年" 0.8-1.4万/月 " 五险一金 餐饮补贴 交通补贴 "
Python开发工程师 杭州 "民营公司 " " 大专  3-4年" 1-1.5万/月 " "
Python开发工程师 苏州-相城区 "民营公司 " " 本科  2年" 1-1.5万/月 " 五险一金 补充公积金 专业培训 通讯补贴 "
Python开发工程师 苏州-工业园区 "民营公司 " " 大专  1年" 0.9-1.6万/月 " 五险一金 绩效奖金 专业培训 通讯补贴 "
Python开发工程师 武汉 "民营公司 " " 本科  2年" 0.8-1.5万/月 " 年终奖金 定期体检 专业培训 包吃住 "
"C++ / Python开发工程师" 淮安 "民营公司 " " 大专  3-4年" 0.7-1.2万/月 " 年终奖金 餐饮补贴 通讯补贴 "
高级Python开发工程师 苏州-工业园区 "民营公司 " " 本科  3-4年" 1.3-2.5万/月 " "
Python上位机开发高级工程师（苏州佳铭） 昆山 "国企 " " 本科  3-4年" 0.8-1.5万/月 " 专业培训 做五休二 "
Python开发工程师 成都-金牛区 "民营公司 " " 本科  2年" 0.8-1.4万/月 " 五险一金 周末双休 带薪年假 员工旅游 "
